,rindex,nif,produtos_all,produtos,grupos,total
10,10,18817171,"[147, 94, 84, 99, 80, 37, 43, 163, 162, 34, 42, 36, 128, 127, 63, 59, 32, 81, 112, 111, 103, 125, 29, 161, 153, 18, 26]","[147, 94, 84, 99, 80, 37, 43, 163, 162, 34, 42, 36, 128, 127, 63, 59, 32, 81, 112, 111, 103, 125, 29, 161, 153, 18, 26]","[18, 11, 9, 12, 5, 23, 4, 16, 6, 15, 3, 22]",159.2
11,11,17037736,"[147, 97, 80, 53, 9, 19, 18, 87, 85, 81, 118, 162, 158, 156, 34, 33, 32, 47, 45, 44, 39, 27, 26, 132, 110, 15, 1, 79]","[147, 97, 80, 53, 9, 19, 18, 87, 85, 81, 118, 162, 158, 156, 34, 33, 32, 47, 45, 44, 39, 27, 26, 132, 110, 15, 1, 79]","[18, 11, 9, 5, 2, 3, 10, 15, 23, 4, 16, 1]",64.9
12,12,14821511,"[134, 97, 98, 16, 48, 47, 45, 39, 36, 89, 88, 18, 16, 156, 86, 83, 69, 80, 1, 150, 75]","[134, 97, 98, 16, 48, 47, 45, 39, 36, 89, 88, 18, 156, 86, 83, 69, 80, 1, 150, 75]","[17, 11, 12, 3, 5, 4, 10, 23, 9, 7, 1, 20, 8]",33.3
13,13,17725108,"[163, 137, 86, 83, 99, 81, 80, 62, 61, 162, 161, 154, 151, 34, 30, 26, 25, 136, 133, 132, 60, 6, 18, 114, 103, 96, 16, 40, 148]","[163, 137, 86, 83, 99, 81, 80, 62, 61, 162, 161, 154, 151, 34, 30, 26, 25, 136, 133, 132, 60, 6, 18, 114, 103, 96, 16, 40, 148]","[23, 17, 10, 9, 12, 6, 20, 4, 3, 16, 1, 15, 11, 5, 19]",64.1
14,14,12234440,"[145, 137, 80, 37, 48, 44, 39, 36, 100, 95, 94, 93, 88, 99, 130, 129, 127, 125, 8, 120, 164, 109, 6, 18, 16, 165]","[145, 137, 80, 37, 48, 44, 39, 36, 100, 95, 94, 93, 88, 99, 130, 129, 127, 125, 8, 120, 164, 109, 6, 18, 16, 165]","[17, 9, 5, 4, 12, 11, 10, 16, 2, 15, 24, 1, 3]",60.5
15,15,11211642,"[163, 162, 161, 154, 98, 80, 67, 37, 8, 100, 95, 93, 26, 24, 13, 19, 149, 116, 132, 5, 85, 84, 99, 81, 42, 125, 148, 70]","[163, 162, 161, 154, 98, 80, 67, 37, 8, 100, 95, 93, 26, 24, 13, 19, 149, 116, 132, 5, 85, 84, 99, 81, 42, 125, 148, 70]","[23, 12, 9, 6, 5, 2, 11, 3, 19, 15, 16, 1, 7]",48.7
16,16,10718075,"[147, 101, 80, 65, 53, 4, 17, 149, 33, 27, 133, 95, 87, 85, 83, 82, 99, 81, 148, 160, 159, 158, 12, 103, 50, 38, 132, 155, 5, 1, 79, 154]","[147, 101, 80, 65, 53, 4, 17, 149, 33, 27, 133, 95, 87, 85, 83, 82, 99, 81, 148, 160, 159, 158, 12, 103, 50, 38, 132, 155, 5, 1, 79, 154]","[18, 12, 9, 6, 5, 1, 3, 19, 4, 17, 11, 10, 23, 2, 16]",68.5
17,17,14182956,"[147, 137, 106, 101, 102, 97, 80, 37, 9, 19, 18, 46, 45, 44, 96, 26, 38, 78, 76, 60, 88, 85, 163, 110, 16, 15, 157, 126]","[147, 137, 106, 101, 102, 97, 80, 37, 9, 19, 18, 46, 45, 44, 96, 26, 38, 78, 76, 60, 88, 85, 163, 110, 16, 15, 157, 126]","[18, 17, 13, 12, 11, 9, 5, 2, 3, 8, 6, 10, 23, 15, 16]",58.6
18,18,19442765,"[147, 147, 122, 108, 161, 156, 80, 6, 64, 18, 44, 71, 133, 94, 80, 16, 150, 96, 38, 36, 81, 17]","[147, 122, 108, 161, 156, 80, 6, 64, 18, 44, 71, 133, 94, 16, 150, 96, 38, 36, 81, 17]","[18, 15, 23, 9, 1, 6, 3, 5, 7, 17, 11, 20, 4]",73.6
19,19,12811583,"[147, 145, 102, 98, 80, 67, 52, 34, 64, 133, 130, 125, 33, 158, 93, 92, 90, 81, 62, 61, 60, 59, 70, 156, 111, 38, 36, 27, 151, 19, 26, 24, 18, 16, 110]","[147, 145, 102, 98, 80, 67, 52, 34, 64, 133, 130, 125, 33, 158, 93, 92, 90, 81, 62, 61, 60, 59, 70, 156, 111, 38, 36, 27, 151, 19, 26, 24, 18, 16, 110]","[18, 17, 12, 9, 6, 5, 4, 16, 23, 11, 7, 15, 3, 20]",114.1
20,20,14041427,"[147, 137, 97, 133, 131, 129, 80, 34, 32, 50, 44, 8, 40, 39, 19, 16, 2, 62, 77, 162, 100, 86, 84, 128, 161, 111, 25, 155]","[147, 137, 97, 133, 131, 129, 80, 34, 32, 50, 44, 8, 40, 39, 19, 16, 2, 62, 77, 162, 100, 86, 84, 128, 161, 111, 25, 155]","[18, 17, 11, 16, 9, 4, 5, 2, 3, 1, 6, 8, 23, 12, 10, 15]",66.4
21,21,11474799,"[147, 137, 105, 106, 80, 67, 37, 25, 12, 159, 154, 18, 46, 45, 43, 42, 125, 64, 39, 61, 94, 87, 86, 84, 121, 153, 5, 120, 118, 125, 124, 123]","[147, 137, 105, 106, 80, 67, 37, 25, 12, 159, 154, 18, 46, 45, 43, 42, 125, 64, 39, 61, 94, 87, 86, 84, 121, 153, 5, 120, 118, 124, 123]","[18, 17, 13, 9, 6, 5, 3, 2, 23, 16, 11, 10, 15, 22, 1]",156.2
22,22,13500244,"[147, 145, 94, 90, 84, 118, 101, 80, 32, 24, 48, 45, 103, 8, 19, 5, 2, 14, 163, 13, 83, 39, 96]","[147, 145, 94, 90, 84, 118, 101, 80, 32, 24, 48, 45, 103, 8, 19, 5, 2, 14, 163, 13, 83, 39, 96]","[18, 17, 11, 9, 15, 12, 4, 3, 5, 2, 1, 23]",54.4
23,23,18817171,"[147, 137, 138, 105, 94, 87, 106, 80, 61, 53, 37, 51, 48, 47, 45, 34, 33, 30, 6, 18, 17, 125, 123, 118, 159, 84, 99, 96, 155, 25]","[147, 137, 138, 105, 94, 87, 106, 80, 61, 53, 37, 51, 48, 47, 45, 34, 33, 30, 6, 18, 17, 125, 123, 118, 159, 84, 99, 96, 155, 25]","[18, 17, 13, 11, 10, 9, 6, 5, 4, 3, 1, 16, 15, 23, 12]",59.5
24,24,14315819,"[147, 137, 115, 113, 108, 139, 100, 85, 84, 106, 98, 49, 48, 47, 46, 44, 8, 19, 5, 18, 40, 16, 26, 39, 3, 36, 13, 83, 82, 99, 81, 60, 140]","[147, 137, 115, 113, 108, 139, 100, 85, 84, 106, 98, 49, 48, 47, 46, 44, 8, 19, 5, 18, 40, 16, 26, 39, 3, 36, 13, 83, 82, 99, 81, 60, 140]","[18, 17, 15, 12, 9, 13, 5, 2, 3, 1, 4, 6]",64.1
25,25,15871572,"[147, 118, 110, 109, 102, 80, 8, 19, 18, 17, 16, 48, 45, 43, 163, 160, 159, 158, 157, 156, 34, 2, 149, 42, 91, 89, 85, 128, 28, 36, 25, 83]","[147, 118, 110, 109, 102, 80, 8, 19, 18, 17, 16, 48, 45, 43, 163, 160, 159, 158, 157, 156, 34, 2, 149, 42, 91, 89, 85, 128, 28, 36, 25, 83]","[18, 15, 12, 9, 2, 3, 5, 23, 4, 1, 19, 11, 16]",79.5
26,26,16049076,"[147, 95, 85, 84, 69, 98, 80, 67, 37, 19, 18, 62, 61, 4, 160, 75, 32, 24, 42, 36, 96, 16, 57]","[147, 95, 85, 84, 69, 98, 80, 67, 37, 19, 18, 62, 61, 4, 160, 75, 32, 24, 42, 36, 96, 16, 57]","[18, 11, 9, 7, 12, 6, 5, 3, 1, 23, 8, 4]",61.8
27,27,12565597,"[147, 162, 98, 80, 35, 19, 9, 8, 7, 17, 160, 159, 158, 156, 154, 64, 63, 72, 15, 2, 93, 90, 27, 132, 109, 57, 83, 81]","[147, 162, 98, 80, 35, 19, 9, 8, 7, 17, 160, 159, 158, 156, 154, 64, 63, 72, 15, 2, 93, 90, 27, 132, 109, 57, 83, 81]","[18, 23, 12, 9, 4, 3, 2, 6, 7, 1, 11, 16, 15, 5]",104.8
28,28,12711514,"[142, 134, 80, 53, 19, 18, 17, 89, 18, 16, 47, 46, 43, 40, 86, 85, 81, 68, 39, 149, 79, 158, 155, 25]","[142, 134, 80, 53, 19, 18, 17, 89, 16, 47, 46, 43, 40, 86, 85, 81, 68, 39, 149, 79, 158, 155, 25]","[17, 9, 5, 3, 11, 10, 6, 19, 23]",47.6
29,29,11268202,"[147, 133, 122, 101, 97, 80, 52, 37, 34, 16, 96, 44, 64, 62, 42, 41, 39, 131, 79, 61, 94, 81, 18, 17, 69, 148]","[147, 133, 122, 101, 97, 80, 52, 37, 34, 16, 96, 44, 64, 62, 42, 41, 39, 131, 79, 61, 94, 81, 18, 17, 69, 148]","[18, 17, 15, 12, 11, 9, 5, 4, 3, 6, 16, 7, 19]",72.1
30,30,18432838,"[147, 97, 53, 35, 34, 62, 61, 77, 54, 19, 94, 49, 109, 81, 131, 30, 27, 162, 108, 46, 44, 41, 18]","[147, 97, 53, 35, 34, 62, 61, 77, 54, 19, 94, 49, 109, 81, 131, 30, 27, 162, 108, 46, 44, 41, 18]","[18, 11, 5, 4, 6, 8, 3, 15, 9, 16, 23]",59.6
31,31,18769114,"[147, 137, 97, 98, 80, 65, 100, 95, 94, 93, 84, 83, 82, 49, 46, 43, 42, 39, 38, 111, 109, 108, 132, 128, 96, 61, 156, 155, 5, 17]","[147, 137, 97, 98, 80, 65, 100, 95, 94, 93, 84, 83, 82, 49, 46, 43, 42, 39, 38, 111, 109, 108, 132, 128, 96, 61, 156, 155, 5, 17]","[18, 17, 11, 12, 9, 6, 5, 15, 16, 23, 1, 3]",52.2
32,32,11268202,"[137, 138, 67, 62, 119, 52, 48, 38, 81, 18, 15, 10, 163, 29, 129, 124, 54, 155, 96, 123, 154]","[137, 138, 67, 62, 119, 52, 48, 38, 81, 18, 15, 10, 163, 29, 129, 124, 54, 155, 96, 123, 154]","[17, 6, 15, 5, 9, 3, 2, 23, 16, 11]",48.6
33,33,14499624,"[147, 147, 141, 105, 97, 80, 67, 7, 18, 17, 15, 34, 33, 119, 109, 41, 38, 26, 148, 130, 129, 87, 85, 149, 36]","[147, 141, 105, 97, 80, 67, 7, 18, 17, 15, 34, 33, 119, 109, 41, 38, 26, 148, 130, 129, 87, 85, 149, 36]","[18, 17, 13, 11, 9, 6, 2, 3, 4, 15, 5, 19, 16, 10]",63.4
34,34,15143296,"[101, 102, 80, 67, 47, 45, 41, 40, 35, 18, 17, 15, 132, 130, 129, 127, 124, 123, 29, 25, 16, 39, 38, 94, 64, 2, 86, 81, 110, 155, 79, 61, 54, 150]","[101, 102, 80, 67, 47, 45, 41, 40, 35, 18, 17, 15, 132, 130, 129, 127, 124, 123, 29, 25, 16, 39, 38, 94, 64, 2, 86, 81, 110, 155, 79, 61, 54, 150]","[12, 9, 6, 5, 4, 3, 16, 15, 11, 1, 10, 23, 20]",85.6
35,35,14168628,"[147, 134, 95, 87, 81, 69, 97, 98, 80, 37, 33, 26, 13, 161, 159, 157, 154, 133, 131, 165, 129, 127, 125, 149, 46, 44, 39, 38, 135, 9, 7]","[147, 134, 95, 87, 81, 69, 97, 98, 80, 37, 33, 26, 13, 161, 159, 157, 154, 133, 131, 165, 129, 127, 125, 149, 46, 44, 39, 38, 135, 9, 7]","[18, 17, 11, 10, 9, 7, 12, 5, 4, 3, 2, 23, 16, 24, 19]",62.4
36,36,17020907,"[147, 80, 18, 17, 34, 100, 96, 49, 46, 42, 95, 87, 86, 85, 121, 163, 147, 160, 159, 156, 154, 16, 81, 133, 132, 130, 16, 79, 38]","[147, 80, 18, 17, 34, 100, 96, 49, 46, 42, 95, 87, 86, 85, 121, 163, 160, 159, 156, 154, 16, 81, 133, 132, 130, 79, 38]","[18, 9, 3, 4, 12, 11, 5, 10, 15, 23, 17, 16]",56.1
37,37,11443239,"[147, 122, 8, 19, 18, 4, 49, 48, 47, 45, 39, 28, 27, 130, 128, 86, 83, 74, 127, 3, 160, 157, 155, 154, 15, 69, 108, 103]","[147, 122, 8, 19, 18, 4, 49, 48, 47, 45, 39, 28, 27, 130, 128, 86, 83, 74, 127, 3, 160, 157, 155, 154, 15, 69, 108, 103]","[18, 15, 2, 3, 1, 5, 16, 10, 9, 8, 23, 7, 12]",76.6
38,38,17895909,"[147, 137, 134, 97, 80, 53, 48, 46, 42, 36, 163, 96, 95, 129, 128, 158, 155, 154, 33, 103, 90, 5, 17, 22, 87, 151, 70]","[147, 137, 134, 97, 80, 53, 48, 46, 42, 36, 163, 96, 95, 129, 128, 158, 155, 154, 33, 103, 90, 5, 17, 22, 87, 151, 70]","[18, 17, 11, 9, 5, 4, 23, 16, 12, 1, 3, 10, 20, 7]",48.7
39,39,16699512,"[134, 91, 84, 99, 81, 163, 159, 77, 75, 74, 53, 155, 37, 36, 73, 57, 19, 18, 34, 28, 154, 151, 25, 136, 133]","[134, 91, 84, 99, 81, 163, 159, 77, 75, 74, 53, 155, 37, 36, 73, 57, 19, 18, 34, 28, 154, 151, 25, 136, 133]","[17, 11, 9, 12, 23, 8, 5, 4, 3, 20]",61.6
40,40,16816652,"[159, 137, 138, 80, 67, 52, 37, 19, 130, 47, 46, 40, 5, 155, 89, 87, 83, 18, 103, 16, 64, 36, 34, 29, 69]","[159, 137, 138, 80, 67, 52, 37, 19, 130, 47, 46, 40, 5, 155, 89, 87, 83, 18, 103, 16, 64, 36, 34, 29, 69]","[23, 17, 9, 6, 5, 3, 16, 1, 11, 10, 12, 4, 7]",70.3
41,41,19889705,"[67, 37, 7, 157, 156, 131, 43, 40, 79, 43, 38, 144, 114, 19, 4, 17, 16, 3, 15, 112, 129, 124, 77]","[67, 37, 7, 157, 156, 131, 43, 40, 79, 38, 144, 114, 19, 4, 17, 16, 3, 15, 112, 129, 124, 77]","[6, 5, 2, 23, 16, 9, 17, 15, 3, 1, 8]",56.6
42,42,17041496,"[122, 108, 97, 98, 80, 18, 42, 95, 94, 88, 87, 84, 40, 38, 36, 163, 34, 33, 128, 96, 79]","[122, 108, 97, 98, 80, 18, 42, 95, 94, 88, 87, 84, 40, 38, 36, 163, 34, 33, 128, 96, 79]","[15, 11, 12, 9, 3, 5, 10, 4, 23, 16]",32.2
43,43,18817171,"[147, 91, 87, 98, 35, 34, 26, 25, 12, 132, 64, 40, 39, 125, 158, 148, 75, 157, 83, 110, 38, 153]","[147, 91, 87, 98, 35, 34, 26, 25, 12, 132, 64, 40, 39, 125, 158, 148, 75, 157, 83, 110, 38, 153]","[18, 11, 10, 12, 4, 3, 2, 16, 6, 5, 23, 19, 8, 9, 15, 22]",136.9
44,44,11945681,"[147, 134, 105, 101, 97, 67, 37, 48, 47, 43, 42, 41, 19, 4, 17, 133, 95, 68, 157, 154, 150, 63, 73, 3, 2, 14, 128, 39, 25, 109, 108]","[147, 134, 105, 101, 97, 67, 37, 48, 47, 43, 42, 41, 19, 4, 17, 133, 95, 68, 157, 154, 150, 63, 73, 3, 2, 14, 128, 39, 25, 109, 108]","[18, 17, 13, 12, 11, 6, 5, 3, 1, 23, 20, 8, 2, 16, 15]",79.3
45,45,19770301,"[147, 162, 159, 158, 156, 101, 97, 80, 64, 80, 61, 95, 93, 86, 82, 74, 57, 132, 126, 123, 35, 19, 8, 18, 34, 17, 15, 164, 24, 55, 13, 155, 41, 149, 54, 165, 150]","[147, 162, 159, 158, 156, 101, 97, 80, 64, 61, 95, 93, 86, 82, 74, 57, 132, 126, 123, 35, 19, 8, 18, 34, 17, 15, 164, 24, 55, 13, 155, 41, 149, 54, 165, 150]","[18, 23, 12, 11, 9, 6, 10, 8, 5, 16, 15, 4, 3, 2, 24, 19, 20]",109.8
46,46,18318305,"[137, 109, 80, 67, 65, 53, 37, 34, 94, 89, 85, 96, 49, 41, 40, 160, 28, 25, 16, 6, 19, 18, 16, 103, 127, 139, 79, 83, 99, 36]","[137, 109, 80, 67, 65, 53, 37, 34, 94, 89, 85, 96, 49, 41, 40, 160, 28, 25, 16, 6, 19, 18, 103, 127, 139, 79, 83, 99, 36]","[17, 15, 9, 6, 5, 4, 11, 23, 3, 1, 12, 16]",71.6
47,47,10009016,"[147, 104, 121, 129, 88, 84, 162, 158, 67, 65, 37, 48, 42, 40, 109, 61, 70, 154, 29]","[147, 104, 121, 129, 88, 84, 162, 158, 67, 65, 37, 48, 42, 40, 109, 61, 70, 154, 29]","[18, 12, 15, 16, 10, 9, 23, 6, 5, 7, 3]",47.4
48,48,15423438,"[147, 137, 122, 95, 94, 93, 88, 106, 97, 80, 67, 37, 51, 43, 79, 39, 133, 87, 85, 81, 35, 16, 24, 61, 96, 157, 155]","[147, 137, 122, 95, 94, 93, 88, 106, 97, 80, 67, 37, 51, 43, 79, 39, 133, 87, 85, 81, 35, 16, 24, 61, 96, 157, 155]","[18, 17, 15, 11, 10, 13, 9, 6, 5, 4, 3, 23]",53.7
49,49,11071430,"[147, 148, 147, 161, 122, 95, 86, 85, 80, 75, 157, 37, 35, 33, 41, 39, 38, 13, 156, 96, 6]","[147, 148, 161, 122, 95, 86, 85, 80, 75, 157, 37, 35, 33, 41, 39, 38, 13, 156, 96, 6]","[18, 19, 23, 15, 11, 10, 9, 8, 5, 4, 2, 1]",42.4
50,50,17660137,"[134, 121, 97, 98, 80, 67, 49, 47, 36, 136, 156, 154, 133, 127, 18, 2, 16, 61, 75, 59, 100, 151, 96, 95, 125, 124, 85, 84, 83, 99, 81, 22, 69, 109]","[134, 121, 97, 98, 80, 67, 49, 47, 36, 136, 156, 154, 133, 127, 18, 2, 16, 61, 75, 59, 100, 151, 96, 95, 125, 124, 85, 84, 83, 99, 81, 22, 69, 109]","[17, 15, 11, 12, 9, 6, 5, 4, 23, 16, 3, 1, 8, 20, 7]",83.9
51,51,16749804,"[147, 98, 80, 37, 20, 19, 34, 93, 91, 87, 85, 81, 32, 21, 9, 18, 15, 22, 13, 147, 75, 131, 126]","[147, 98, 80, 37, 20, 19, 34, 93, 91, 87, 85, 81, 32, 21, 9, 18, 15, 22, 13, 75, 131, 126]","[18, 12, 9, 5, 3, 4, 11, 10, 2, 8, 16]",110.2
52,52,18526126,"[104, 95, 87, 86, 85, 83, 99, 163, 161, 160, 159, 158, 97, 80, 8, 26, 25, 64, 63, 62, 47, 44, 40, 38, 108, 148, 18, 17, 68, 149, 131, 3, 15, 61, 55, 130, 151]","[104, 95, 87, 86, 85, 83, 99, 163, 161, 160, 159, 158, 97, 80, 8, 26, 25, 64, 63, 62, 47, 44, 40, 38, 108, 148, 18, 17, 68, 149, 131, 3, 15, 61, 55, 130, 151]","[12, 11, 10, 9, 23, 2, 3, 6, 5, 15, 19, 16, 1, 20]",109.2
53,53,18295922,"[147, 138, 118, 109, 80, 52, 95, 85, 127, 19, 18, 15, 1, 96, 49, 45, 44, 41, 40, 38, 36, 34, 26, 76, 125, 57]","[147, 138, 118, 109, 80, 52, 95, 85, 127, 19, 18, 15, 1, 96, 49, 45, 44, 41, 40, 38, 36, 34, 26, 76, 125, 57]","[18, 17, 15, 9, 5, 11, 16, 3, 1, 4, 8]",52.4
54,54,17020907,"[102, 80, 67, 61, 77, 75, 35, 154, 43, 136, 133, 95, 99, 81, 6, 18, 147, 39, 27, 16, 129, 60, 59, 73, 57, 161, 150, 128, 118]","[102, 80, 67, 61, 77, 75, 35, 154, 43, 136, 133, 95, 99, 81, 6, 18, 147, 39, 27, 16, 129, 60, 59, 73, 57, 161, 150, 128, 118]","[12, 9, 6, 8, 4, 23, 5, 17, 11, 1, 3, 18, 16, 20, 15]",85.2
55,55,10950248,"[97, 80, 67, 34, 33, 100, 162, 161, 144, 158, 157, 90, 48, 40, 64, 29, 62, 75, 36, 151, 60, 19, 18, 96, 125, 89, 54, 25, 81]","[97, 80, 67, 34, 33, 100, 162, 161, 144, 158, 157, 90, 48, 40, 64, 29, 62, 75, 36, 151, 60, 19, 18, 96, 125, 89, 54, 25, 81]","[11, 9, 6, 4, 12, 23, 17, 5, 3, 8, 20, 16]",72.6
56,56,14218753,"[137, 133, 105, 106, 101, 97, 98, 80, 40, 36, 19, 18, 4, 16, 15, 14, 34, 27, 25, 94, 84, 81, 161, 160, 132, 75, 157, 156]","[137, 133, 105, 106, 101, 97, 98, 80, 40, 36, 19, 18, 4, 16, 15, 14, 34, 27, 25, 94, 84, 81, 161, 160, 132, 75, 157, 156]","[17, 13, 12, 11, 9, 5, 4, 3, 1, 2, 23, 16, 8]",44.0
57,57,17871112,"[80, 8, 19, 18, 104, 120, 111, 33, 95, 88, 86, 85, 83, 2, 1, 157, 155, 150, 32, 43, 39, 148, 38, 31, 16, 64, 79, 129, 125]","[80, 8, 19, 18, 104, 120, 111, 33, 95, 88, 86, 85, 83, 2, 1, 157, 155, 150, 32, 43, 39, 148, 38, 31, 16, 64, 79, 129, 125]","[9, 2, 3, 12, 15, 4, 11, 10, 1, 23, 20, 5, 19, 6, 16]",92.4
58,58,10802991,"[147, 96, 95, 161, 160, 159, 157, 156, 80, 50, 47, 39, 38, 155, 148, 36, 132, 131, 128, 84, 82, 99, 69, 154, 151, 119, 19, 5, 16, 34, 13]","[147, 96, 95, 161, 160, 159, 157, 156, 80, 50, 47, 39, 38, 155, 148, 36, 132, 131, 128, 84, 82, 99, 69, 154, 151, 119, 19, 5, 16, 34, 13]","[18, 11, 23, 9, 5, 19, 4, 16, 12, 7, 20, 15, 3, 1, 2]",56.7
59,59,16828523,"[122, 119, 98, 80, 65, 64, 79, 76, 94, 114, 35, 34, 33, 26, 36, 13, 44, 21, 18, 2, 89, 84, 82, 99, 81, 148, 40, 139, 150]","[122, 119, 98, 80, 65, 64, 79, 76, 94, 114, 35, 34, 33, 26, 36, 13, 44, 21, 18, 2, 89, 84, 82, 99, 81, 148, 40, 139, 150]","[15, 12, 9, 6, 8, 11, 4, 3, 2, 5, 1, 19, 17, 20]",99.0
60,60,15423438,"[147, 138, 101, 67, 53, 37, 127, 126, 125, 34, 32, 64, 61, 149, 81, 20, 45, 38, 11, 5, 162, 28, 24, 16, 148, 150]","[147, 138, 101, 67, 53, 37, 127, 126, 125, 34, 32, 64, 61, 149, 81, 20, 45, 38, 11, 5, 162, 28, 24, 16, 148, 150]","[18, 17, 12, 6, 5, 16, 4, 19, 9, 3, 2, 1, 23, 20]",111.5
61,61,12811583,"[142, 147, 141, 95, 94, 102, 80, 52, 53, 34, 33, 136, 126, 125, 48, 93, 92, 87, 84, 62, 6, 18, 3, 96, 149, 143, 15, 14, 42, 36, 69, 29, 158]","[142, 147, 141, 95, 94, 102, 80, 52, 53, 34, 33, 136, 126, 125, 48, 93, 92, 87, 84, 62, 6, 18, 3, 96, 149, 143, 15, 14, 42, 36, 69, 29, 158]","[17, 18, 11, 12, 9, 5, 4, 16, 10, 6, 1, 3, 19, 2, 7, 23]",74.5
